Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;Run 2;;Total;;Race;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;Time Rank;;;;;;
1;9;54063;FELLER Manuel;1992;AUT;55.12;(3);55.15;(1);1;50.27;;0,00;Atomic
2;6;6190403;NOEL Clement;1997;FRA;54.87;(1);55.83;(9);1;50.70;0.43;2,85;Dynastar
3;5;54320;SCHWARZ Marco;1995;AUT;55.57;(5);55.40;(3);1;50.97;0.70;4,63;Atomic
4;4;422082;FOSS-SOLEVAAG Sebastian;1991;NOR;55.10;(2);55.98;(12);1;51.08;0.81;5,36;Voelkl
5;3;202451;STRASSER Linus;1992;GER;55.74;(7);55.73;(8);1;51.47;1.20;7,94;Rossignol
6;2;511902;ZENHAEUSERN Ramon;1992;SUI;55.68;(6);55.89;(10);1;51.57;1.30;8,61;Rossignol
7;12;220689;RYDING Dave;1986;GBR;56.32;(15);55.53;(5);1;51.85;1.58;10,46;Fischer
8;43;511983;AERNI Luca;1993;SUI;56.53;(18);55.38;(2);1;51.91;1.64;10,86;Fischer
9;10;194364;PINTURAULT Alexis;1991;FRA;56.55;(20);55.49;(4);1;52.04;1.77;11,72;Head
10;17;512203;NEF Tanguy;1996;SUI;56.54;(19);55.54;(6);1;52.08;1.81;11,98;Fischer
11;8;512182;MEILLARD Loic;1996;SUI;56.15;(12);55.95;(11);1;52.10;1.83;12,11;Rossignol
12;22;53889;HIRSCHBUEHL Christian;1990;AUT;56.10;(10);56.06;(15);1;52.16;1.89;12,51;Rossignol
13;14;193967;MUFFAT-JEANDET Victor;1989;FRA;56.19;(13);56.00;(13);1;52.19;1.92;12,71;Salomon
14;20;54444;GSTREIN Fabio;1997;AUT;56.04;(9);56.19;(17);1;52.23;1.96;12,98;Atomic
15;24;54348;PERTL Adrian;1996;AUT;56.33;(16);56.33;(21);1;52.66;2.39;15,82;Voelkl
16;35;92720;POPOV Albert;1997;BUL;56.96;(27);55.72;(7);1;52.68;2.41;15,95;Head
17;23;561322;HADALIN Stefan;1995;SLO;56.82;(25);56.01;(14);1;52.83;2.56;16,95;Rossignol
18;7;422304;KRISTOFFERSEN Henrik;1994;NOR;56.59;(23);56.27;(19);1;52.86;2.59;17,15;Rossignol
19;28;293797;GROSS Stefano;1986;ITA;56.13;(11);56.83;(24);1;52.96;2.69;17,81;Voelkl
20;13;54170;MATT Michael;1993;AUT;56.74;(24);56.25;(18);1;52.99;2.72;18,01;Rossignol
21;33;512138;SIMONET Sandro;1995;SUI;55.92;(8);57.14;(25);1;53.06;2.79;18,47;Rossignol
22;41;202615;TREMMEL Anton;1994;GER;56.86;(26);56.27;(19);1;53.13;2.86;18,93;Nordica
23;26;422507;HAUGAN Timon;1996;NOR;57.13;(28);56.17;(16);1;53.30;3.03;20,06;Head
24;16;380335;ZUBCIC Filip;1993;CRO;56.56;(21);56.81;(23);1;53.37;3.10;20,52;Atomic
25;34;51395;DIGRUBER Marc;1988;AUT;56.35;(17);57.17;(26);1;53.52;3.25;21,52;Atomic
26;49;202584;RAUCHFUSS Julian;1994;GER;57.27;(30);56.79;(22);1;54.06;3.79;25,09;Rossignol
27;27;103729;READ Erik;1991;CAN;57.23;(29);57.26;(27);1;54.49;4.22;27,94;Atomic
Conditions on course:;;;;;;;
Run 1;MOSTLY CLOUDY;Snow:;HARD;Temperature - Start:;-7°C;Temperature - Finish:;-6°C
Run 2;SNOW;Snow:;HARD;Temperature - Start:;-6°C;Temperature - Finish:;-5°C
